Inference for Stan model: anon_model_2bcafdf2c8909f974977673c3a5d5c71.
4 chains, each with iter=20; warmup=10; thin=1; 
post-warmup draws per chain=10, total post-warmup draws=40.

               mean se_mean     sd    2.5%     25%     50%     75%    97.5%  n_eff   Rhat
dc_1bs[215]    0.08     nan   0.95   -1.46   -0.73    0.39    1.19     1.25    nan   2.03
dc_1bs[216]    0.04     nan   0.78   -0.54   -0.48   -0.17   -0.12      1.9    nan   3.24
dc_1bs[217]   -0.17     nan   0.87   -1.04   -1.01    -0.6    0.63     1.17    nan   3.75
dc_1bs[218]    0.34     nan   0.51   -0.48   -0.22    0.62    0.73     0.86    nan   3.28
dc_1bs[219]    0.18     nan   1.62   -1.99   -1.35    0.41    1.81     2.09    nan    3.1
dc_1bs[220]    0.75     nan   1.02   -0.84   -0.46    1.24    1.51     2.13    nan   2.13
dc_1bs[221]   -0.23     nan   1.14   -1.66   -1.45   -0.76    0.44     1.85    nan   2.29
dc_1bs[222]   -0.75     nan   0.97   -1.81   -1.51   -1.08     0.4     0.98    nan   4.49
dc_1bs[223]   -0.85    0.57   0.96    -2.1   -1.87   -0.17   -0.02     0.54      3   2.43
dc_1bs[224]   -1.11     nan   0.75   -1.98   -1.58   -1.12   -1.11     1.26    nan   1.41
dc_1bs[225]   -0.54     nan   0.49   -1.54   -0.93    -0.3   -0.26     0.58    nan   1.21
dc_1bs[226]    0.03     nan   0.88   -0.86   -0.75   -0.67    0.88     1.47    nan   2.47
dc_1bs[227]   -0.19     nan   1.18   -1.97   -1.31   -0.26    1.07     1.14    nan   5.18
dc_1bs[228]    0.22    0.72   1.08   -1.46   -0.41    0.13    1.14     1.86      2   4.53
dc_1bs[229] -9.6e-3     nan   0.83   -1.65    -1.0    0.39    0.39     1.15    nan   2.41
dc_1bs[230]    0.47     nan   1.07   -1.01   -0.92     0.8    1.15     1.99    nan   2.36
dc_1bs[231]   -0.11     nan   0.75   -1.34    -0.4   -0.12    0.17     1.14    nan   1.64
dc_1bs[232]    0.69     nan    0.7   -1.12    0.33    0.49    1.05     1.98    nan   1.22
dc_1bs[233]   -0.51     nan   0.76   -1.86   -0.93   -0.48     0.3     0.54    nan   3.39
dc_1bs[234]   -0.73     0.4   0.83   -1.82   -1.28   -0.83    0.02     0.92      4    1.6
dc_1bs[235]    0.45     nan   1.01   -1.06   -0.77    0.51     1.4     1.75    nan   3.08
dc_1bs[236]     0.1     nan   1.11   -1.94   -0.49    0.14    0.58     2.16    nan   1.81
dc_1bs[237]    0.69     nan   1.45   -1.61   -0.93    1.29    1.93     1.98    nan   3.08
dc_1bs[238]   -0.05     nan   1.43   -1.77   -1.52   -0.66    1.56     2.06    nan   2.44
dc_1bs[239]   -0.65     nan   0.89   -2.02   -1.05   -0.78    0.19     0.86    nan   2.03
dc_1bs[240]    0.23     nan   1.24   -1.44   -1.27    0.33    1.18      1.9    nan   2.49
dc_1bs[241]    0.71     nan   0.94   -0.85    -0.2    0.75    1.56     1.88    nan   2.46
dc_1bs[242]    0.83     nan   1.22    -1.7     0.3    1.51    1.62     1.93    nan   3.03
dc_1bs[243]    0.48    0.66   1.19    -1.8    -0.2    0.88    1.39      1.6      3   2.12
